method,partition,continuity,flicker,drift,sigma,continuity_std,flicker_std,drift_std,sigma_std,n_scenes
BiRefNet,FKIT,99.6989,0.1588,0.3789,4.2533,0.6634,0.3598,0.239,3.2604,21
BiRefNet,MTF,48.8384,13.7558,8.2269,36.7006,35.0525,8.2104,5.969,8.8122,13
BiRefNet,N5K,100.0,0.0,0.8671,1.9495,0.0,0.0,0.1939,0.3166,10
BiRefNet,VF,36.2132,10.4414,6.7993,36.335,13.7134,4.662,2.1632,8.7215,4
CCNet,FKIT,77.1172,6.7886,4.9986,31.7097,29.6076,5.2274,2.7848,10.0209,21
CCNet,MTF,89.4758,7.9363,5.7787,24.7854,20.8766,11.8856,6.2136,9.7094,13
CCNet,N5K,100.0,0.0,1.334,4.1737,0.0,0.0,0.5801,0.7269,10
CCNet,VF,56.4165,17.6313,11.3781,33.4586,27.0539,8.2442,3.8128,6.7221,4
CCNet-Re,FKIT,83.7287,7.2784,5.4116,26.0646,17.2063,4.2079,2.3475,7.6993,21
CCNet-Re,MTF,91.6037,3.8593,3.812,21.6733,22.6257,7.4854,3.7925,5.8452,13
CCNet-Re,N5K,100.0,0.0,1.4616,4.2105,0.0,0.0,0.622,0.8795,10
CCNet-Re,VF,68.7705,11.0568,7.5041,28.6977,33.9351,5.6052,1.9975,3.9535,4
DEVA,FKIT,99.8403,0.0971,0.321,5.3394,0.4958,0.186,0.0903,3.5189,21
DEVA,MTF,92.4631,0.1548,1.0875,20.7772,26.1086,0.3046,1.0059,3.9016,13
DEVA,N5K,74.7838,1.3212,1.5334,25.5589,28.4586,1.4511,0.6947,12.7826,10
DEVA,VF,71.9545,1.839,2.4584,34.3258,38.7956,1.9595,2.0243,10.1788,4
DoraemonGPT,FKIT,62.2449,0.0,0.1801,46.3012,48.1506,0.0,0.1402,4.0845,21
DoraemonGPT,MTF,0.0,0.0,0.0008,0.0164,0.0,0.0,0.0017,0.0119,13
DoraemonGPT,N5K,0.0,0.0,0.062,1.9052,0.0,0.0,0.1647,1.3511,10
DoraemonGPT,VF,42.2468,3.4968,2.9081,41.2154,38.8585,3.9203,3.0052,14.3562,4
FLMM,FKIT,47.8752,23.5631,20.7244,45.7978,22.3098,7.407,5.7337,6.1782,21
FLMM,MTF,33.8902,29.5741,25.8688,46.9885,29.6024,12.1352,9.3568,7.3861,13
